family,model_label,assay_id,split,evaluated_rows,train_rows,test_rows,spearman,pearson,rmse,mae
additive,additive,A4_HUMAN_Seuma_2022,random,914.0,11848.0,1482.0,0.8448505730201008,0.8302460936819868,1.1742622877285152,0.8662217236781189
additive,additive,A4_HUMAN_Seuma_2022,single_to_multi,14015.0,796.0,14015.0,0.8410429068160745,0.8232804140137432,1.180959677666188,0.8838575820031903
additive,additive,A4_HUMAN_Seuma_2022,low_to_high_k1,14015.0,796.0,14015.0,0.8410429068160745,0.8232804140137432,1.180959677666188,0.8838575820031903
additive,additive,A4_HUMAN_Seuma_2022,low_to_high_k2,0.0,14811.0,0.0,,,,
additive,additive,A4_HUMAN_Seuma_2022,seen_marginal_unseen_combo,14015.0,796.0,14015.0,0.8410429068160745,0.8232804140137432,1.180959677666188,0.8838575820031903
additive,additive,A4_HUMAN_Seuma_2022,epistasis_enriched,2803.0,796.0,2803.0,0.556555275649886,0.5107887180750209,2.256876580872147,2.13764813498544
additive,additive,A4_HUMAN_Seuma_2022,distance_controlled,0.0,796.0,0.0,,,,
additive,additive,CAPSD_AAV2S_Sinai_2021,random,1439.0,33862.0,4234.0,0.6869841268652299,0.6463500973828358,4.8965604536960905,3.6950857350456254
additive,additive,CAPSD_AAV2S_Sinai_2021,single_to_multi,41796.0,532.0,41796.0,0.4106555418634631,0.3767601825546414,7.842204551968392,5.877921268960836
additive,additive,CAPSD_AAV2S_Sinai_2021,low_to_high_k1,41796.0,532.0,41796.0,0.4106555418634631,0.3767601825546414,7.842204551968392,5.877921268960836
additive,additive,CAPSD_AAV2S_Sinai_2021,low_to_high_k2,30963.0,11365.0,30963.0,0.257327737481576,0.2760793130565969,8.993394981101384,7.230345592824436
additive,additive,CAPSD_AAV2S_Sinai_2021,seen_marginal_unseen_combo,41796.0,532.0,41796.0,0.4106555418634631,0.3767601825546414,7.842204551968392,5.877921268960836
additive,additive,CAPSD_AAV2S_Sinai_2021,epistasis_enriched,8360.0,532.0,8360.0,0.1298972213519492,0.1178725666419627,14.953799581249696,14.244076562926216
additive,additive,CAPSD_AAV2S_Sinai_2021,distance_controlled,30963.0,532.0,30963.0,0.257327737481576,0.2760793130565969,8.993394981101384,7.230345592824436
additive,additive,D7PM05_CLYGR_Somermeyer_2022,random,1087.0,19612.0,2452.0,0.3073056353762394,0.2079012298957323,57668.01986460402,50016.088367134194
additive,additive,D7PM05_CLYGR_Somermeyer_2022,single_to_multi,20212.0,1169.0,23346.0,0.1336580301263202,0.0476966208918238,66596.55115609661,57082.18366310604
additive,additive,D7PM05_CLYGR_Somermeyer_2022,low_to_high_k1,20212.0,1169.0,23346.0,0.1336580301263202,0.0476966208918238,66596.55115609661,57082.18366310604
additive,additive,D7PM05_CLYGR_Somermeyer_2022,low_to_high_k2,10695.0,11317.0,13198.0,0.3025923542490991,0.2096911026753347,86555.6308024027,80257.7112348441
additive,additive,D7PM05_CLYGR_Somermeyer_2022,seen_marginal_unseen_combo,20212.0,1169.0,20212.0,0.1336580301263202,0.0476966208918238,66596.55115609661,57082.18366310604
additive,additive,D7PM05_CLYGR_Somermeyer_2022,epistasis_enriched,4043.0,1169.0,4043.0,0.2527472608828134,0.1544227186042189,116505.18555676744,113037.45442341098
additive,additive,D7PM05_CLYGR_Somermeyer_2022,distance_controlled,10695.0,1169.0,13198.0,0.3025923542490991,0.2096911026753347,86555.6308024027,80257.7112348441
additive,additive,GFP_AEQVI_Sarkisyan_2016,random,2016.0,41371.0,5172.0,-0.2650514904301268,-0.4003012571640748,10.010244718627066,8.49395493054257
additive,additive,GFP_AEQVI_Sarkisyan_2016,single_to_multi,42671.0,1084.0,50630.0,-0.3456481257249178,-0.4315548314830565,12.040434232720886,10.241381256234789
additive,additive,GFP_AEQVI_Sarkisyan_2016,low_to_high_k1,42671.0,1084.0,50630.0,-0.3456481257249178,-0.4315548314830565,12.040434232720886,10.241381256234789
additive,additive,GFP_AEQVI_Sarkisyan_2016,low_to_high_k2,30717.0,13861.0,37853.0,-0.2328294103215322,-0.3246091174514683,13.996195829224048,12.76879494090839
additive,additive,GFP_AEQVI_Sarkisyan_2016,seen_marginal_unseen_combo,42671.0,1084.0,42671.0,-0.3456481257249178,-0.4315548314830565,12.040434232720886,10.241381256234789
additive,additive,GFP_AEQVI_Sarkisyan_2016,epistasis_enriched,8535.0,1084.0,8535.0,0.0131940737284756,-0.0721847343476737,20.85080686190497,20.342136088999144
additive,additive,GFP_AEQVI_Sarkisyan_2016,distance_controlled,30717.0,1084.0,37853.0,-0.2328294103215322,-0.3246091174514683,13.996195829224048,12.76879494090839
additive,additive,GRB2_HUMAN_Faure_2021,random,3803.0,50692.0,6338.0,0.8647030590689669,0.8533004518673346,0.3401189614326393,0.235082847642117
additive,additive,GRB2_HUMAN_Faure_2021,single_to_multi,62189.0,1034.0,62332.0,0.8619493462042194,0.8482096436869868,0.3483584373897899,0.2418171927036772
additive,additive,GRB2_HUMAN_Faure_2021,low_to_high_k1,62189.0,1034.0,62332.0,0.8619493462042194,0.8482096436869868,0.3483584373897899,0.2418171927036772
additive,additive,GRB2_HUMAN_Faure_2021,low_to_high_k2,0.0,63366.0,0.0,,,,
additive,additive,GRB2_HUMAN_Faure_2021,seen_marginal_unseen_combo,62189.0,1034.0,62189.0,0.8619493462042194,0.8482096436869868,0.3483584373897899,0.2418171927036772
additive,additive,GRB2_HUMAN_Faure_2021,epistasis_enriched,12438.0,1034.0,12438.0,0.554663324602112,0.5984957005717991,0.7017200353918576,0.6677160516409825
additive,additive,GRB2_HUMAN_Faure_2021,distance_controlled,0.0,1034.0,0.0,,,,
additive,additive,HIS7_YEAST_Pokusaeva_2019,random,5118.0,396909.0,49615.0,-0.1056372205314348,-0.086248650170411,5.194016497653831,4.895323357694884
additive,additive,HIS7_YEAST_Pokusaeva_2019,single_to_multi,254614.0,168.0,495969.0,-0.0838775117353424,-0.0627088549781678,6.207524540253546,5.918685406753346
additive,additive,HIS7_YEAST_Pokusaeva_2019,low_to_high_k1,254614.0,168.0,495969.0,-0.0838775117353424,-0.0627088549781678,6.207524540253546,5.918685406753346
additive,additive,HIS7_YEAST_Pokusaeva_2019,low_to_high_k2,253371.0,1643.0,494494.0,-0.0793241289166259,-0.0565615373056567,6.222317445836312,5.942831538496355
additive,additive,HIS7_YEAST_Pokusaeva_2019,seen_marginal_unseen_combo,254614.0,168.0,254614.0,-0.0838775117353424,-0.0627088549781678,6.207524540253546,5.918685406753346
additive,additive,HIS7_YEAST_Pokusaeva_2019,epistasis_enriched,50923.0,168.0,50923.0,0.4998562305705498,0.4888642924928349,8.613051236289758,8.574927342773114
